,index,Borough,Distance,ID,Latitude,Longitude,Name,Ratings,Label
86,36,Manhattan,5682,4a5a0495f964a520a4b91fe3,40.74369315012712,-73.98795254143488,24 Hour Fitness,7.2,3
87,37,Manhattan,3831,52ae49df498e9cc9cac45029,40.75683371751805,-73.97157850619652,DoubleTree Metropolitan Fitness Center,7.547368421052633,3
88,38,Manhattan,3091,5a58f4e223a2e6177af677a6,40.8063554,-73.9895602,Tilton Fitness Edgewater,7.547368421052633,3
89,39,Manhattan,3179,546d0827498e207ac48a2ee6,40.76549380405404,-73.97900557775937,Fitness Center,7.547368421052633,3
90,40,Manhattan,5199,4bafcc2cf964a5208e213ce3,40.77076901983599,-73.90366666139928,Matrix Fitness Club,8.2,1
91,41,Manhattan,644,5aa1a964bd897e585ab44e60,40.785346865774116,-73.9554324779809,BodMod Fitness,7.547368421052633,17
92,42,Manhattan,3921,4af21f0bf964a52002e621e3,40.763814286526625,-73.92883289310444,Synergy Fitness Clubs,6.0,1
93,43,Manhattan,7082,4d56bce5e7f1a1cda66d0aa5,40.78940671279888,-74.04385808957291,LA Fitness,6.6,13
94,44,Manhattan,1040,51117a0b16488bb8b0bf9df6,40.79202807404827,-73.97190854142404,"X 93 Fitness, LLC",7.547368421052633,3
95,45,Manhattan,4669,5a20a6cba30619630c1dc0a4,40.8169,-73.91722,Blink Fitness In The Hub,7.5,1
96,0,Staten Island,655,4ba94f57f964a520941d3ae3,40.5834814701279,-74.15736140804067,Ultimate fitness and wellness,6.972727272727273,4
97,1,Staten Island,3606,4c86d2a2110176b09e3db340,40.588187618192954,-74.19180726782817,LA Fitness,6.4,12
98,2,Staten Island,4125,4bbbd997e5b0d13a30a86e7c,40.60033700281632,-74.19305460639735,Planet Fitness,6.1,12
99,3,Staten Island,1628,4c744a603adda143e73f04af,40.5768549051716,-74.16678762731426,Nautilus Women Fitness And Aerobic Center,6.972727272727273,4
100,4,Staten Island,5971,4ea1b88bb6347b99677b1acc,40.57834797339095,-74.21991081668882,RWJ Rahway Fitness & Wellness Center at Carteret,8.5,12
101,5,Staten Island,4699,4f1615c6e4b0472049667c71,40.62535281099798,-74.15638421980653,Planet Fitness,7.9,4
102,6,Staten Island,2621,519d0544454abaf70382ffdf,40.57502718162267,-74.12065744400024,MRG Fitness Inc.,6.972727272727273,8
103,7,Staten Island,1594,57e2772a498e69ce86c536e7,40.588869981439586,-74.16706225003998,Orangetheory Fitness,6.972727272727273,4
104,8,Staten Island,1517,4fb67a34d5fb2447a9b33ec2,40.58956413498796,-74.16565396441183,Retro Fitness,5.5,4
105,9,Staten Island,6139,4c287cddce3fc9288f2d6d88,40.60535077101491,-74.082943113109,Dolphin Fitness Club,6.8,0
106,10,Staten Island,1198,50af93dde4b0d8a9eff1a1c0,40.586520071781486,-74.1631926475149,Transformation Fitness Studio,6.972727272727273,4
107,11,Staten Island,3021,532df06a498e4e5349154e45,40.55986667454659,-74.16727596254569,LA Fitness,8.0,4
108,12,Staten Island,3440,4d2ba0b7c406721e66e48db6,40.579781,-74.109196,Nyomiz Fun and Fitness Studio,6.972727272727273,8
109,13,Staten Island,3723,58dc30a837da1d64073437e4,40.56789100324659,-74.11062136480751,Retro Fitness,6.9,8
110,14,Staten Island,3214,4fb17d4ae4b0abe3968d901a,40.581335391493184,-74.11168539233284,Believe Fitness,6.972727272727273,8
111,15,Staten Island,4649,4b6af98bf964a520f9e92be3,40.624786020329964,-74.14164998173763,P.I. Fitness,6.972727272727273,4
112,16,Staten Island,2294,4f1df157e4b0ab7783e8f1d8,40.56299400189247,-74.14634762037865,American Karate And Fitness,6.972727272727273,4
113,17,Staten Island,2026,5625dfb8498e2702849b3a3d,40.576669995766714,-74.12736728650816,"Changes Nutritional Therapy, Fitness and Wellness Center",6.972727272727273,8
114,18,Staten Island,3044,4b9c07d5f964a520c94236e3,40.5733898995574,-74.11612455668086,New Dorp Fitness,6.972727272727273,8
115,19,Staten Island,4711,58ef45dbee628b4eddf3e781,40.62504927804894,-74.13927625287252,LA Fitness,7.1,4
116,20,Staten Island,3427,5494145a498edcbb09a8fe30,40.57169021248702,-74.1121444800515,Limitless Fitness Studios,6.972727272727273,8
117,21,Staten Island,2982,4ee6ae0e6da14e7d9bd6f53d,40.57272364854878,-74.11728312755228,"Richmond Rehab Physical Therapy, Health & Fitness ""ZUMBA !""",6.972727272727273,8
